time,EMG1,EMG2
0.0005,0.0375366,-0.0653076
0.001,0.0360107,-0.172424
0.0015,0.0250244,-0.249939
0.002,0.0265503,-0.0744629
0.0025,0.0717163,0.0814819
0.003,0.0866699,0.115967
0.0035,0.0817871,0.0601196
0.004,0.0631714,-0.0891113
0.0045,0.0485229,-0.171509
0.005,0.00946045,-0.0961304
0.0055,-0.0238037,0.0622559
0.006,-0.0311279,0.0143433
0.0065,-0.0198364,-0.0341797
0.007,-0.0100708,-0.0253296
0.0075,-0.0350952,0.0167847
0.008,-0.0323486,0.0805664
0.0085,-0.00946045,0.105286
0.009,0.0201416,0.083313
0.0095,0.0286865,0.0354004
0.01,0.0280762,0.0119019
0.0105,0.0308228,0.0488281
0.011,0.0128174,0.0891113
0.0115,0.0100708,0.112
0.012,0.0137329,0.109253
0.0125,0.00854492,0.107422
0.013,0.00244141,0.0787354
0.0135,0.000305176,0.0473022
0.014,-0.0161743,-0.0354004
0.0145,-0.0268555,-0.134583
0.015,-0.0134277,-0.153198
0.0155,0.0109863,-0.10498
0.016,0.0244141,-0.0735474
0.0165,0.0238037,-0.0854492
0.017,0.0283813,-0.133057
0.0175,0.0408936,-0.155945
0.018,0.0418091,-0.159912
0.0185,0.0354004,-0.106506
0.019,0.032959,-0.0570679
0.0195,0.0286865,-0.0265503
0.02,0.0177002,-0.00549316
0.0205,0.00427246,0.0109863
0.021,-0.0213623,0.0271606
0.0215,-0.0491333,0.0424194
0.022,-0.0738525,0.0588989
0.0225,-0.0827026,0.0756836
0.023,-0.0723267,0.0689697
0.0235,-0.0485229,0.0741577
0.024,-0.0152588,0.0805664
0.0245,0.000610352,0.0866699
0.025,-0.00396729,0.118408
0.0255,-0.0405884,0.134277
0.026,-0.0662231,0.115662
0.0265,-0.0643921,0.0888062
0.027,-0.0430298,0.0604248
0.0275,-0.0323486,0.0292969
0.028,-0.0402832,-0.0195313
0.0285,-0.0405884,-0.110474
0.029,-0.0311279,-0.0772095
0.0295,-0.020752,-0.0140381
0.03,-0.0012207,-0.0592041
0.0305,0.039978,-0.0183105
0.031,0.0958252,0.0515747
0.0315,0.133667,0.0256348
0.032,0.126953,0.0302124
0.0325,0.090332,0.0265503
0.033,0.0610352,0.0396729
0.0335,0.0354004,0.0463867
0.034,0.0158691,-0.107727
0.0345,0.00366211,-0.293579
0.035,-0.00701904,-0.221252
0.0355,-0.00976563,-0.217285
0.036,-0.00579834,-0.138245
0.0365,-0.00457764,-0.00946045
0.037,-0.010376,-0.0628662
0.0375,-0.00823975,-0.291443
0.038,-0.00152588,-0.175171
0.0385,0.00244141,0.0247192
0.039,0.0,0.131531
0.0395,-0.00976563,0.157166
0.04,-0.0234985,0.150146
0.0405,-0.0350952,0.139465
0.041,-0.0393677,0.139771
0.0415,-0.0448608,0.0845337
0.042,-0.0546265,-0.050354
0.0425,-0.0695801,-0.0717163
0.043,-0.0805664,-0.0842285
0.0435,-0.0811768,-0.14679
0.044,-0.0735474,-0.125732
0.0445,-0.0350952,-0.132141
0.045,-0.00549316,-0.133362
0.0455,-0.00610352,-0.0427246
0.046,-0.0161743,0.0631714
0.0465,-0.0143433,0.111389
0.047,-0.00701904,0.102539
0.0475,-0.00366211,0.117188
0.048,0.00488281,0.168762
0.0485,0.015564,0.169067
0.049,0.0256348,0.113525
0.0495,0.0387573,0.0460815
0.05,0.032959,0.0256348
0.0505,0.00640869,0.0201416
0.051,-0.0344849,0.0372314
0.0515,-0.0500488,-0.108337
0.052,-0.0482178,-0.238342
0.0525,-0.0350952,-0.0979614
0.053,-0.0332642,-0.00244141
0.0535,-0.0372314,-0.00244141
0.054,-0.0387573,-0.0109863
0.0545,-0.0326538,0.0387573
0.055,-0.0201416,0.0616455
0.0555,-0.012207,0.126648
0.056,-0.0238037,0.308228
0.0565,-0.0366211,0.43396
0.057,-0.032959,0.288696
0.0575,-0.00610352,0.317383
0.058,0.0430298,0.0921631
0.0585,0.132446,-0.344849
0.059,0.209351,-0.423584
0.0595,0.253906,-0.284119
0.06,0.292358,-0.22644
0.0605,0.308228,-0.115967
0.061,0.27832,-0.00366211
0.0615,0.197754,0.0665283
0.062,0.11261,0.0888062
0.0625,0.0473022,0.050354
0.063,0.00823975,0.0259399
0.0635,-0.0238037,0.0241089
0.064,-0.0619507,0.0167847
